Designator,Mid X,Mid Y,Layer,Rotation
AUD,97.98,21.21,Top,90.0
BOOT0,60.96,4.21,Top,90.0
C1,17.53,35.03,Top,0.0
C2,46.90,9.78,Top,0.0
C3,23.24,3.40,Top,270.0
C4,43.86,18.59,Bottom,270.0
C5,41.59,9.32,Bottom,0.0
C6,22.40,43.91,Top,135.0
C7,66.01,11.44,Top,180.0
C8,31.57,44.34,Bottom,45.0
C9,32.39,18.03,Bottom,90.0
C10,47.66,18.63,Top,0.0
C11,51.34,18.62,Top,180.0
C12,39.43,34.46,Top,180.0
C13,26.08,40.32,Top,225.0
C14,36.09,20.74,Bottom,180.0
C15,97.56,84.47,Top,0.0
C16,38.11,15.93,Bottom,270.0
C17,104.02,50.72,Top,90.0
C18,167.91,28.52,Top,180.0
C19,168.30,16.81,Top,270.0
C20,128.08,9.48,Top,0.0
C21,145.51,35.94,Top,0.0
C22,29.53,10.77,Top,270.0
C23,162.26,61.70,Top,0.0
C24,22.95,32.49,Top,90.0
C25,118.13,1.82,Top,0.0
C26,114.35,28.54,Top,270.0
C27,114.33,18.90,Top,90.0
C28,56.00,54.79,Top,45.0
C29,32.00,64.11,Top,315.0
C30,50.48,55.34,Bottom,45.0
C31,39.56,68.57,Top,90.0
C32,28.91,51.32,Bottom,90.0
C33,7.64,62.36,Top,180.0
C34,44.28,42.74,Bottom,135.0
C35,108.61,34.89,Top,90.0
C36,10.84,47.17,Top,0.0
C37,167.12,53.30,Top,270.0
C38,97.25,69.88,Top,90.0
C39,25.65,88.70,Top,90.0
C40,112.65,36.13,Top,180.0
C41,98.14,64.76,Top,270.0
C42,99.12,89.75,Top,270.0
C43,52.33,25.07,Top,270.0
C44,85.13,24.38,Top,0.0
C45,108.24,23.65,Top,0.0
C46,89.97,49.07,Top,180.0
C47,52.70,72.32,Top,90.0
C48,136.86,61.96,Top,180.0
C49,114.81,61.83,Top,0.0
C50,50.77,21.42,Top,0.0
C51,168.07,32.05,Top,0.0
C52,167.25,47.62,Top,90.0
C53,145.40,9.33,Top,0.0
C54,160.64,35.92,Top,0.0
C55,108.95,29.65,Top,180.0
C56,57.11,50.91,Top,270.0
C57,56.41,25.25,Top,0.0
C58,54.25,18.51,Top,90.0
C59,77.97,18.59,Top,90.0
C60,78.12,23.57,Top,270.0
C61,94.48,21.60,Top,270.0
C62,91.84,25.15,Top,180.0
C63,73.91,22.07,Top,0.0
CN1,167.70,74.69,Top,180.0
CN2,167.70,95.39,Top,180.0
F1,72.35,9.57,Top,0.0
F2,72.34,11.76,Top,0.0
IC1,52.70,87.65,Top,180.0
IC2,127.87,16.97,Top,0.0
IC3,127.87,28.72,Top,0.0
IC4,153.61,16.97,Top,0.0
IC5,153.61,28.72,Top,0.0
IC6,9.70,54.68,Top,270.0
IC7,67.65,56.63,Top,0.0
IC8,18.86,40.13,Top,270.0
IC9,135.17,48.46,Top,180.0
IC10,39.52,51.31,Top,135.0
IC11,38.09,15.03,Top,270.0
IC12,83.22,18.87,Top,90.0
IC13,77.99,35.81,Top,0.0
IC14,65.47,74.10,Top,0.0
IC15,66.81,18.71,Top,270.0
IC16,46.81,28.36,Top,270.0
IC17,37.56,27.69,Top,270.0
J1,9.74,39.01,Top,270.0
JAM,54.67,12.38,Top,270.0
JP2,72.46,4.06,Top,270.0
JP3,128.02,5.02,Top,90.0
JP4,98.59,50.90,Top,180.0
JP5,22.48,15.49,Top,90.0
JP6,22.48,83.57,Top,90.0
JTAG1,9.13,65.37,Top,0.0
L1,18.01,23.01,Top,180.0
L2,18.01,17.93,Top,180.0
L3,18.01,12.85,Top,180.0
L4,18.01,7.77,Top,180.0
L5,18.01,90.58,Top,180.0
L6,18.01,20.47,Top,0.0
L7,18.01,15.39,Top,0.0
L8,18.01,10.31,Top,0.0
L9,18.01,85.50,Top,180.0
L10,18.01,80.42,Top,180.0
L11,18.01,75.34,Top,180.0
L12,18.01,77.88,Top,0.0
L13,18.01,82.96,Top,0.0
L14,18.01,88.04,Top,0.0
OSC2,25.86,67.93,Top,180.0
PA9BOOT,57.66,4.25,Top,90.0
POWR,2.83,45.41,Top,0.0
PWR,25.09,3.35,Top,90.0
Q1,168.32,39.72,Top,90.0
R1,97.19,61.46,Top,0.0
R2,65.98,9.38,Top,180.0
R3,25.99,14.76,Top,270.0
R4,73.82,24.30,Top,180.0
R5,128.06,2.22,Top,0.0
R6,96.41,47.12,Top,180.0
R7,101.61,47.12,Top,180.0
R8,98.18,86.93,Top,0.0
R9,58.33,23.00,Top,180.0
R10,81.41,24.44,Top,180.0
R11,102.77,22.17,Top,90.0
R12,100.59,22.17,Top,270.0
R13,56.47,16.99,Top,270.0
R14,58.93,17.01,Top,90.0
R15,102.90,62.59,Top,0.0
R16,58.39,20.86,Top,180.0
R17,36.32,75.33,Top,270.0
R18,73.95,19.99,Top,0.0
R19,73.94,17.79,Top,180.0
R21,91.42,22.97,Top,180.0
R22,87.91,24.15,Top,270.0
RN1,24.47,95.09,Top,90.0
RN2,26.75,9.63,Top,0.0
RN3,17.75,28.18,Top,90.0
RN4,92.10,94.23,Top,90.0
RN5,18.70,70.07,Top,270.0
RN6,97.02,94.22,Top,90.0
RN7,89.92,73.63,Top,270.0
RN8,95.83,75.38,Top,270.0
RN9,84.26,73.67,Top,270.0
RN10,81.42,95.20,Top,90.0
RN11,29.42,3.55,Top,0.0
S1,36.85,3.53,Top,90.0
S2,48.71,3.55,Top,90.0
U$3,102.98,17.02,Top,0.0
U$5,84.30,14.29,Top,0.0
UART,57.91,12.33,Top,270.0
USB,26.69,3.34,Top,270.0
VIDEO,114.37,8.32,Top,90.0
X1,12.05,15.49,Top,90.0
X2,49.27,15.91,Top,180.0
X3,11.94,83.57,Top,90.0
